X,Y,bemerkung,befundtyp,geometry_p,befundnumm,flaeche_id,befundart,befundtyp2,befund_id,kultur,abschnitt,epoche,bs_AZ,BOARTSTDKL,Bodenklass,BodTyp_T,AEPOT_K,bofu_AZ,reclass_ex,dgm10doarf,hoehe_uebe,neig20,X,Y
4500685.3364397334,5733433.502249999,,Pfostengrube,3754,559,520000,Siedlung,Pfostengrube,16966,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.24092,0.77706,0.79268,4500685.336439733400000,5733433.502249999000000
4500684.3405920826,5733433.9273,,Pfostengrube,3755,558,520000,Siedlung,Pfostengrube,16967,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.27612,0.78710,0.79268,4500684.340592082600000,5733433.927299999600000
4500677.4166124575,5733445.56,,Pfostengrube,3756,555,520000,Siedlung,Pfostengrube,16968,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,83.95098,0.58958,0.63556,4500677.416612457500000,5733445.560000000500000
4500676.002726689,5733444.5432,,Pfostengrube,3757,554,520000,Siedlung,Pfostengrube,16969,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.16032,0.71564,0.63556,4500676.002726689000000,5733444.543199999300000
4500678.9500524886,5733448.722,,Pfostengrube,3758,557,520000,Siedlung,Pfostengrube,16970,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,83.95098,0.58958,0.63556,4500678.950052488600000,5733448.721999999100000
4500678.1126773488,5733447.33665,,Pfostengrube,3759,556,520000,Siedlung,Pfostengrube,16971,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,83.95098,0.58958,0.63556,4500678.112677348800000,5733447.336650000000000
4500682.3704917561,5733448.455,,Grube,3760,551,520000,Siedlung,Grube,16972,,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,83.95098,0.58958,0.61265,4500682.370491756100000,5733448.455000000100000
4500682.3704917561,5733448.455,,Grube,3760,551,520000,Siedlung,Grube,16972,,,Eisenzeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,83.95098,0.58958,0.61265,4500682.370491756100000,5733448.455000000100000
4500682.0055978633,5733445.226,,Pfostengrube,3761,550,520000,Siedlung,Pfostengrube,16973,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,83.95098,0.58958,0.61265,4500682.005597863300000,5733445.225999999800000
4500674.6058960743,5733444.59905,,Pfostengrube,3762,553,520000,Siedlung,Pfostengrube,16974,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.22415,0.75555,0.63556,4500674.605896074300000,5733444.599050000300000
4500676.7457107659,5733441.714199999,,Grube,3763,552,520000,Siedlung,Grube,16975,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.16032,0.71564,0.63556,4500676.745710765900000,5733441.714199999300000
4500672.6532841381,5733429.1458,,Grube,3764,1199,520000,Siedlung,Grube,16976,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.28515,0.77247,0.85229,4500672.653284138100000,5733429.145800000100000
4500679.8897655923,5733428.6212,,Graben,3765,1198,520000,unklar,Graben,16977,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.27612,0.78710,0.85229,4500679.889765592300000,5733428.621199999900000
4500674.7711983733,5733414.5613,,Grube,3766,1191,520000,Siedlung,Grube,16978,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.60673,1.00098,0.94514,4500674.771198373300000,5733414.561300000200000
4500677.5402744263,5733415.2843,,Grube,3767,1190,520000,Siedlung,Grube,16979,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.39969,0.86465,0.94514,4500677.540274426300000,5733415.284299998500000
4500676.3230572715,5733414.0102499994,,Grube,3768,1193,520000,Siedlung,Grube,16980,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.54107,0.95844,0.94514,4500676.323057271500000,5733414.010249999400000
4500674.5929652732,5733413.54655,Dat.: unsicher,Graben,3769,1192,520000,unklar,Graben,16981,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.60673,1.00098,0.94514,4500674.592965273200000,5733413.546550000100000
4500687.0694497116,5733408.2537,,Herdstelle,3770,1194,520000,Siedlung,Herdstelle,16982,,spaet,Bronzezeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.48930,0.93108,0.90278,4500687.069449711600000,5733408.253700000200000
4500687.0694497116,5733408.2537,,Herdstelle,3770,1194,520000,Siedlung,Herdstelle,16982,,,Eisenzeit,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,2.00000,84.48930,0.93108,0.90278,4500687.069449711600000,5733408.253700000200000
4500684.9624340925,5733402.5815499993,,Grube,3771,1196,520000,Siedlung,Grube,16983,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.69641,1.06470,0.90278,4500684.962434092500000,5733402.581549999300000
4500832.4765242739,5733371.0866,gleich Bef. 1841 im Pl. 1,Grube,3772,1754,520000,Siedlung,Grube,16984,,,undat.,62.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,7.00000,84.08846,0.81764,0.30129,4500832.476524273900000,5733371.086600000000000
4500838.0537808519,5733364.0035,,Grube,3773,1751,520000,Siedlung,Grube,16985,,,undat.,81.00000,"sandiger Lehm; sandiger Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,7.00000,84.01913,0.72409,0.30129,4500838.053780851900000,5733364.003499999600000
4500795.2598278355,5733423.2869,,Grube,3774,1750,520000,Siedlung,Grube,16986,,aelter,Eisenzeit,89.00000,"Lehm; Lehm ber ...",Stauwasserbden,Humuspseudogley,3.00000,85,1.00000,84.26158,1.07011,0.45417,4500795.259827835500000,5733423.286899999700000
