"";"geometry_p.key";"befundnummer";"befund_id";"flaeche_id";"befundtyp";"befundart";"epoche";"abschnitt";"kultur";"dgm10doarf";"Hoehe.ueber.tiefenlinie";"neigung";"az";"aepot";"bodenklasse";"bodentyp";"area";"X";"Y"
"12";2987;424024;9259;420000;"Grube";"Siedlung";"undat.";NA;NA;85,6038;0,94139;1,10007;93;5;"Schwarzerden";"Tschernosem";0,674;4497979,624;5733598,738
"13";4935;1432;18147;520000;"Grube";"Siedlung";"undat.";NA;NA;85,49645;1,33741;0,53176;56;5;"Schwarzerden";"Braunerde-Tschernosem";0,572;4500730,371;5733287,821
"14";4938;1431;18150;520000;"Grube";"Siedlung";"undat.";NA;NA;85,49645;1,33741;0,53176;56;5;"Schwarzerden";"Braunerde-Tschernosem";2,154;4500733,703;5733294,694
"15";3772;1754;16984;520000;"Grube";"Siedlung";"undat.";NA;NA;84,08846;0,81764;0,30129;62;3;"Stauwasserbden";"Humuspseudogley";0,912;4500832,476;5733371,086
"16";3815;1343;17027;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";83,86966;1,19242;0,63513;62;3;"Stauwasserbden";"Humuspseudogley";1,219;4500918,407;5733409,752
"17";3816;1344;17028;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";83,86966;1,19242;0,63513;62;3;"Stauwasserbden";"Humuspseudogley";1,289;4500918,046;5733408,567
"18";3817;1345;17029;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";83,86966;1,19242;0,63513;62;3;"Stauwasserbden";"Humuspseudogley";1,09;4500917,868;5733406,961
"19";3818;1346;17030;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";83,87491;1,13794;0,63513;62;3;"Stauwasserbden";"Humuspseudogley";1,01;4500915,153;5733404,507
"20";3819;1347;17031;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";83,87491;1,13794;0,63513;62;3;"Stauwasserbden";"Humuspseudogley";1,393;4500917,907;5733404,001
"21";3867;1364;17079;520000;"Ofen";"Siedlung";"Neolithikum";"spaet";"Schnurkeramik";83,99473;1,01889;0,42876;62;3;"Stauwasserbden";"Humuspseudogley";40,135;4500874,656;5733404,891
"22";3928;1383;17140;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";84,10275;1,09832;0,36725;62;3;"Stauwasserbden";"Humuspseudogley";2,166;4500851,505;5733408,703
"23";3922;1384;17134;520000;"Grube";"Siedlung";"undat.";NA;NA;84,10275;1,09832;0,36725;62;3;"Stauwasserbden";"Humuspseudogley";0,564;4500854,722;5733410,173
"24";3923;1385;17135;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,06018;1,09972;0,36725;62;3;"Stauwasserbden";"Humuspseudogley";0,154;4500855,979;5733408,865
"25";3924;1386;17136;520000;"Pfostengrube";"Siedlung";"undat.";NA;NA;84,06018;1,09972;0,42876;62;3;"Stauwasserbden";"Humuspseudogley";0,125;4500863,21;5733411,45
"26";3927;1382;17139;520000;"Grube";"Siedlung";"Eisenzeit";"aelter";"Hausurnenkultur";84,10275;1,09832;0,36725;62;3;"Stauwasserbden";"Humuspseudogley";1,115;4500851,099;5733410,458
