geometry_p-key,befundnummer,befund_id,flaeche_id,befundtyp,befundart,epoche,abschnitt,kultur,dgm10doarf,Hoehe-ueber-tiefenlinie,neigung,az,aepot,bodenklasse,bodentyp,area,X,Y
3946,389,17158,520000,Graben,unklar,undat.,,,"84,19707","0,52347","0,76914",81,3,Stauwasserbden,Humuspseudogley,"0,438","4500785,98700","5733341,09700"
3947,258,17159,520000,Pfostengrube,Siedlung,undat.,,,"85,19101","1,26636","0,51175",81,3,Stauwasserbden,Humuspseudogley,"0,111","4500722,53000","5733330,97500"
3948,259,17160,520000,Pfostengrube,Siedlung,undat.,,,"84,91536","0,97455","0,51175",81,3,Stauwasserbden,Humuspseudogley,"0,088","4500736,18000","5733321,23500"
3949,252,17161,520000,Pfostengrube,Siedlung,undat.,,,"85,21961","1,36719","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,234","4500714,82600","5733350,20100"
3950,253,17162,520000,Pfostengrube,Siedlung,undat.,,,"84,91601","1,11108","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,178","4500715,63300","5733348,67900"
3951,250,17163,520000,Pfostengrube,Siedlung,undat.,,,"84,91601","1,11108","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,174","4500717,27700","5733350,33700"
3952,251,17164,520000,Pfostengrube,Siedlung,undat.,,,"84,91601","1,11108","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,156","4500715,85700","5733349,77100"
3953,256,17165,520000,Pfostengrube,Siedlung,undat.,,,"85,21961","1,36719","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,063","4500714,09800","5733350,34300"
3954,257,17166,520000,Grube,Siedlung,undat.,,,"84,91601","1,11108","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,174","4500716,29300","5733349,13900"
3955,254,17167,520000,Pfostengrube,Siedlung,undat.,,,"84,91601","1,11108","0,47880",81,3,Stauwasserbden,Humuspseudogley,"0,063","4500715,15100","5733347,65100"
3956,255,17168,520000,Graben,unklar,undat.,,,"85,21961","1,36719","0,47880",81,3,Stauwasserbden,Humuspseudogley,"1,178","4500712,18500","5733348,37000"
3959,168,17171,520000,Grube,Siedlung,undat.,,,"84,80667","1,15858","0,92382",81,3,Stauwasserbden,Humuspseudogley,"0,568","4500647,84900","5733406,90900"
3960,167,17172,520000,Grube,Siedlung,undat.,,,"84,80667","1,15858","0,92382",81,3,Stauwasserbden,Humuspseudogley,"0,488","4500646,59600","5733407,25600"
3961,160,17173,520000,Grube,Siedlung,undat.,,,"84,93767","1,27034","0,92382",81,3,Stauwasserbden,Humuspseudogley,"0,422","4500643,04300","5733407,38500"
3962,161,17174,520000,Pfostengrube,Siedlung,undat.,,,"84,77026","1,15021","0,92382",81,3,Stauwasserbden,Humuspseudogley,"0,094","4500640,57800","5733416,08300"
3963,162,17175,520000,Graben,unklar,undat.,,,"84,93767","1,27034","0,92382",81,3,Stauwasserbden,Humuspseudogley,"0,484","4500638,51700","5733412,33300"
3964,163,17176,520000,Pfostengrube,Siedlung,undat.,,,"84,80667","1,15858","0,92382",81,3,Stauwasserbden,Humuspseudogley,"0,211","4500645,21100","5733408,25300"
3966,678,17178,520000,Herdstelle,Siedlung,Bronzezeit,spaet,Saalemuendungsgruppe,"85,47981","1,56252","0,38882",81,5,Schwarzerden,Braunerde-Tschernosem,"6,934","4500668,96000","5733345,43800"
3967,679,17179,520000,sonstiger Befund,unklar,Bronzezeit,spaet,,"85,55692","1,58382","0,38882",81,5,Schwarzerden,Braunerde-Tschernosem,"1,521","4500665,88400","5733341,97000"
3967,679,17179,520000,sonstiger Befund,unklar,Eisenzeit,,,"85,55692","1,58382","0,38882",81,5,Schwarzerden,Braunerde-Tschernosem,"1,521","4500665,88400","5733341,97000"
3973,1098,17185,520000,Siedlungsbefund,Siedlung,undat.,,,"85,42089","1,57274","0,61708",81,5,Schwarzerden,Braunerde-Tschernosem,"1,033","4500590,97500","5733391,57700"
3974,1099,17186,520000,Grube,Siedlung,undat.,,,"85,35767","1,44176","0,38320",81,5,Schwarzerden,Braunerde-Tschernosem,"1,549","4500584,87000","5733377,81300"
3975,1609,17187,520000,Grube,Siedlung,undat.,,,"85,56213","1,34789","0,37863",81,5,Schwarzerden,Braunerde-Tschernosem,"0,602","4500700,94000","5733284,73700"
3976,1608,17188,520000,Graben,unklar,undat.,,,"85,56213","1,34789","0,37863",81,5,Schwarzerden,Braunerde-Tschernosem,"2,211","4500705,83100","5733290,04000"
4116,1011,17328,520000,Grube,Siedlung,undat.,,,"85,53970","1,16914","0,39922",81,5,Schwarzerden,Braunerde-Tschernosem,"0,457","4500636,74900","5733272,61800"
3978,1603,17190,520000,Grube,Siedlung,undat.,,,"85,61191","1,46043","0,25366",81,5,Schwarzerden,Braunerde-Tschernosem,"0,713","4500695,66500","5733295,44300"
